pfam_accession	pfam_id	description
PF19085.7	Choline_bind_2	Choline-binding repeat
PF19127.7	Choline_bind_3	Choline-binding repeat
PF21540.4	Choline_bind_4	Choline-binding repeat
PF01633.27	Choline_kinase	Choline/ethanolamine kinase
PF04428.20	Choline_kin_N	Choline kinase N terminus
PF12411.14	Choline_sulf_C	Choline sulfatase enzyme C terminal 
PF04515.19	Choline_transpo	Plasma-membrane choline transporter
PF09129.17	Chol_subst-bind	Cholesterol oxidase, substrate-binding
PF14592.13	Chondroitinas_B	Chondroitinase B
PF06566.17	Chon_Sulph_att	Chondroitin sulphate attachment domain
PF04968.18	CHORD	CHORD
PF05961.17	Chordopox_A13L	Chordopoxvirus A13L protein
PF05846.18	Chordopox_A15	Chordopoxvirus A15 protein
PF05941.20	Chordopox_A20R	Chordopoxvirus A20R protein
PF06015.18	Chordopox_A30L	Chordopoxvirus A30L protein
PF05966.18	Chordopox_A33R	Chordopoxvirus A33R protein
PF05989.18	Chordopox_A35R	Chordopoxvirus A35R protein
PF06138.18	Chordopox_E11	Chordopoxvirus E11 protein
PF05796.19	Chordopox_G2	Chordopoxvirus protein G2
PF06129.19	Chordopox_G3	Chordopoxvirus G3 protein
PF05803.19	Chordopox_L2	Chordopoxvirus L2 protein
PF05864.18	Chordopox_RPO7	Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7)
PF01723.22	Chorion_1	Chorion protein
PF03964.21	Chorion_2	Chorion family 2
PF05387.16	Chorion_3	Chorion family 3
PF05836.18	Chorion_S16	Chorion protein S16
PF00425.25	Chorismate_bind	chorismate binding enzyme
PF01264.27	Chorismate_synt	Chorismate synthase
PF04345.18	Chor_lyase	Chorismate lyase
PF27115.1	Cho_C	Excinuclease Cho C-terminal domain
PF27659.1	CHP02642	Conserved hypothetical protein CHP02642
PF27779.1	CHP03076_Gly-cleavage	Conserved hypothetical protein CHP03076, glycine cleavage
PF27794.1	CHP03809	Conserved hypothetical protein CHP03809
PF27796.1	CHP03894	Conserved hypothetical protein CHP03894
PF27865.1	CHP04376	Conserved hypothetical protein CHP04376
PF27890.1	CHP04423	CRISPR type III-associated protein, CHP04423 family
PF27907.1	CHP04442	Conserved hypothetical protein CHP04442
PF21484.4	Chp1-like_PIN	Chromo domain-containing protein 1-like, PIN domain
PF22380.3	Chp1-like_SPOC	Chromo domain-containing protein 1-like, SPOC domain
PF23340.2	Chp1_domII	Chp1 domain II
PF03777.19	ChpA-C	ChpA-C  
PF10216.15	ChpXY	CO2 hydration protein (ChpXY)
PF27851.1	CHP_AF_0576	Uncharacterised protein AF_0576
PF09828.15	ChrB_C	ChrB, C-terminal domain
PF20229.4	ChrB_N	Protein ChrB, N-terminal
PF07452.18	CHRD	CHRD domain
PF19548.5	CHRDL_1_2_C	Chordin-like protein 1/2 C-terminal
PF05535.18	Chromadorea_ALT	Chromadorea ALT protein
PF02417.21	Chromate_transp	Chromate transporter
PF00385.31	Chromo	Chromo (CHRromatin Organisation MOdifier) domain
PF13889.12	Chromosome_seg	Chromosome segregation during meiosis
PF18704.8	Chromo_2	Chromatin organization modifier domain 2
PF23615.2	Chromo_MIT1	MIT1 Chromo domain
PF23327.2	Chromo_MORC2_6th	ATPase MORC2, chromo domain-like
PF24294.3	Chromo_PTM	Membrane-bound transcription factor PTM, chromo domain-like
PF25386.2	Chromo_SEND1	Single-strand DNA endonuclease 1, chromo domain
PF01393.27	Chromo_shadow	Chromo shadow domain
PF19223.6	Chropara_Vmeth	Chroparavirus methyltransferase
PF22997.2	CHS4	Chitin synthase 4-like domain
PF16892.11	CHS5_N	Chitin biosynthesis protein CHS5 N-terminus
PF12271.15	Chs7	Chitin synthase export chaperone
PF06573.17	Churchill	Churchill protein
PF06228.20	ChuX_HutX	Haem utilisation ChuX/HutX
PF13585.13	CHU_C	CHU_C Type IX secretion signal domain
PF07538.17	ChW	Clostridial hydrophobic W
PF23256.2	CHX17_2nd	Plant cation/H(+) antiporter domain
PF23259.2	CHX17_C	Plant cation/H(+) antiporter, C-terminal domain
PF22368.2	ChxR_N	Response regulator protein ChxR, N-terminal domain
PF09649.16	CHZ	Histone chaperone domain CHZ
PF06294.17	CH_2	CH-like domain in sperm protein
PF25532.2	CH_CAMSAP2_N	CAMSAP2-like, calponin-homology domain
PF26801.1	CH_HOOK_api	Apicomplexan hook protein Calponin-homology domain
PF07347.18	CI-B14_5a	NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)
PF08547.19	CIA30	Complex I intermediate-associated protein 30 (CIA30)
PF21862.2	CiaD	CiaD-like protein
PF28048.1	CiaI	CiaI campylobacter virulence factor
PF05093.19	CIAPIN1	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis
PF15673.11	Ciart	Circadian-associated transcriptional repressor 
PF16090.13	Cic	Protein capicua homolog-like domain
PF04818.20	CID	CID domain
PF02017.22	CIDE-N	CIDE-N domain
PF18562.7	CIDR1_gamma	Cysteine-Rich Interdomain Region 1 gamma
PF16766.11	CID_GANP	Binding region of GANP to ENY2
PF16374.12	CIF	Cycle inhibiting factor (CIF)
PF23591.2	CILP	Cartilage intermediate layer protein 1-like domain
PF23708.2	CILP_5th	Cartilage intermediate layer protein 1-like domain
PF23730.2	CILP_8th	Cartilage intermediate layer protein 1-like domain
PF23599.2	CILP_C	Cartilage intermediate layer protein 1-like, C-terminal
PF22581.2	CIMIP3	Ciliary microtubule inner protein 3
PF00878.25	CIMR	Cation-independent mannose-6-phosphate receptor repeat
PF20738.3	Cin1_N	Cellophane-induced 1 (cin1) repeat
PF02464.24	CinA	Competence-damaged protein
PF18146.7	CinA_KH	Damage-inducible protein CinA KH domain
PF28255.1	CIP1_HTH	CIP1 HTH domain
PF21044.5	CIP2A_N	CIP2A, N-terminal
PF15800.11	CiPC	Clock interacting protein circadian
PF06615.16	Circovir2_Orf1	Circovirus 2, Orf1
PF07038.17	Circovir2_Orf4	Circovirus 2, anti-apoptotic ORF4
PF05614.17	Circovir_ORF3	Circovirus ORF3
PF02443.23	Circo_capsid	Circovirus capsid protein
PF06022.17	Cir_Bir_Yir	Plasmodium variant antigen protein Cir/Yir/Bir
PF10197.15	Cir_N	N-terminal domain of CBF1 interacting co-repressor CIR
PF19267.5	CIS_spike_tip	Contractile injection system spike tip protein
PF19268.5	CIS_TMP	Contractile injection system tape measure protein
PF19266.5	CIS_tube	Contractile injection system tube protein
PF27541.1	CitB	Citrate utilization protein B
PF04487.18	CITED	CITED
PF04223.19	CitF	Citrate lyase, alpha subunit (CitF)
PF01874.22	CitG	ATP:dephospho-CoA triphosphoribosyl transferase 
PF03600.23	CitMHS	Citrate transporter
PF16980.12	CitMHS_2	Putative citrate transport
PF16114.11	Citrate_bind	ATP citrate lyase citrate-binding
PF08218.18	Citrate_ly_lig	Citrate lyase ligase C-terminal domain
PF00285.27	Citrate_synt	Citrate synthase, C-terminal domain
PF24948.2	Citrate_synth_N	ATP-citrate synthase ATP-grasp domain
PF05520.16	Citrus_P18	Citrus tristeza virus P18 protein
PF03802.20	CitX	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
PF28266.1	Cj0814	Cj0814 flagellar-dependent secreted protein
PF22506.3	Cj1289-like_C	Cj1289-like, C-terminal domain
PF22131.2	CjCas9_PI_CTD	CRISPR-associated endonuclease CjCas9 PI-CTD domain
PF22129.2	CjCas9_WED-like	CRISPR-associated endonuclease CjCas9 wedge domain
PF12605.14	CK1gamma_C	Casein kinase 1 gamma C terminal
PF15297.12	CKAP2_C	Cytoskeleton-associated protein 2 C-terminus
PF17500.7	CKI	Colicin-K immunity
PF01111.25	CKS	Cyclin-dependent kinase regulatory subunit
PF01214.24	CK_II_beta	Casein kinase II regulatory subunit
PF03805.19	CLAG	Cytoadherence-linked asexual protein
PF14769.12	CLAMP	Flagellar C1a complex subunit C1a-32
PF28371.1	Clampless_N	Clampless protein 1 N-terminal domain
PF13259.12	clamp_Gag1-like	Gag1-like, clamp domain
PF25807.1	Clarin-2	Clarin-2-like
PF12348.15	CLASP_N	CLASP N terminal
PF22488.2	Class_2_docking_dom	Class 2 C-terminal docking domain
PF04021.18	Class_IIIsignal	Class III signal peptide
PF00637.27	Clathrin	Region in Clathrin and VPS
PF09268.17	Clathrin-link	Clathrin, heavy-chain linker
PF15045.12	Clathrin_bdg	Clathrin-binding box of Aftiphilin, vesicle trafficking
PF13838.13	Clathrin_H_link	Clathrin-H-link
PF01086.23	Clathrin_lg_ch	Clathrin light chain
PF01394.27	Clathrin_propel	Clathrin propeller repeat
PF01217.27	Clat_adaptor_s	Clathrin adaptor complex small chain
PF13903.12	Claudin_2	PMP-22/EMP/MP20/Claudin tight junction
PF06653.17	Claudin_3	Tight junction protein, Claudin-like
PF26158.1	Claudin_TMEM179-179B	Transmembrane protein 179/179B Claudin domain
PF05452.16	Clavanin	Clavanin
PF27871.1	CLB_0814_fam	Conserved hypothetical protein
PF07062.18	Clc-like	Clc-like
PF08434.17	CLCA	Calcium-activated chloride channel N terminal
PF28179.1	CLC_0170	CLC_0170-like
PF07675.19	Cleaved_Adhesin	Cleaved Adhesin Domain
PF19439.5	CLEC16A_C	CLEC16A C-terminal
PF03505.21	Clenterotox	Clostridium enterotoxin
PF27922.1	CLE_plant	CLAVATA3/ESR (CLE)-related protein
PF22441.3	CLIC-like_N	CLIC-like N-terminal domain
PF19411.5	Clink	Cell cycle link protein Clink
PF12032.14	CLIP	Regulatory CLIP domain of proteinases
PF27241.1	CLIP1	CLIP1-like domain
PF16641.11	CLIP1_ZNF	CLIP1 zinc knuckle
PF18322.7	CLIP_1	Serine protease Clip domain PPAF-2
PF18398.7	CLIP_SPH_mas	Clip-domain serine protease homolog masquerade
PF18399.7	CLIP_SPH_Scar	Clip-domain serine protease homolog Scarface
PF15675.11	CLLAC	CLLAC-motif containing domain
PF02487.24	CLN3	CLN3 protein
PF15014.12	CLN5	Ceroid-lipofuscinosis neuronal protein 5
PF15156.12	CLN6	Ceroid-lipofuscinosis neuronal protein 6
PF27857.1	Clo7Bot_mod_Cys	Cys-rich peptide, Clo7bot family
PF03515.20	Cloacin	Colicin-like bacteriocin tRNase domain
PF03513.19	Cloacin_immun	Cloacin immunity protein
PF22374.2	Clospo_01618-like	Clospo_01618-like
PF01785.23	Closter_coat	Closterovirus coat protein
PF06807.20	Clp1	Pre-mRNA cleavage complex II protein Clp1
PF28353.1	CLP1_C	Clampless protein 1 C-terminal domain
PF16573.11	CLP1_N	N-terminal beta-sandwich domain of polyadenylation factor
PF16575.12	CLP1_P	mRNA cleavage and polyadenylation factor CLP1 P-loop
PF10431.16	ClpB_D2-small	C-terminal, D2-small domain, of ClpB protein 
PF02617.23	ClpS	ATP-dependent Clp protease adaptor protein ClpS
PF05602.18	CLPTM1	Cleft lip and palate transmembrane protein 1 (CLPTM1)
PF02861.26	Clp_N	Clp repeat (R) N-terminal domain
PF00574.29	CLP_protease	Clp protease
PF10383.16	Clr2	Transcription-silencing protein Clr2   
PF16761.11	Clr2_transil	Transcription-silencing protein, cryptic loci regulator Clr2
PF14420.12	Clr5	Clr5 domain
PF19699.5	CLSTN_C	Calsyntenin C-terminal
PF13236.12	CLU	Clustered mitochondria
PF27672.1	CLU5d_C	CLU5d C-terminal domain
PF10234.15	Cluap1	Clusterin-associated protein-1
PF01093.23	Clusterin	Clusterin
PF15044.12	CLU_N	Mitochondrial function, CLU-N-term
PF16526.11	CLZ	C-terminal leucine zipper domain of cyclic nucleotide-gated channels 
PF28351.1	CLZ1_N	CLZ1 N-terminal domain
PF03026.22	CM1	Influenza C virus M1 protein
PF03021.20	CM2	Influenza C virus M2 protein
PF02353.27	CMAS	Mycolic acid cyclopropane synthetase
PF08583.16	Cmc1	Cytochrome c oxidase biogenesis protein Cmc1 like
PF08991.17	CMC4	Cx9C motif-containing protein 4
PF02627.26	CMD	Carboxymuconolactone decarboxylase family
PF28155.1	CmeU	CmeU-like
PF10629.16	CMI2B-like	Ciliary microtubule inner protein 2B-like
PF15667.12	CMIP6	Ciliary microtubule inner protein 6
PF18456.7	CmlA_N	Diiron non-heme beta-hydroxylase N-terminal domain
PF22045.2	CmlS_C	Chloramphenicol halogenase CmlS C-terminal domain
PF22407.2	Cmr1_C	Cmr1, C-terminal domain
PF21452.3	Cmr1_like_C	Cmr1-like, C-terminal
PF20822.3	Cmr2_hel_dom1	CRISPR RNA silencing complex Cmr2 subunit, first helical domain
PF20824.3	Cmr2_hel_dom2	CRISPR RNA silencing complex Cmr2 subunit, second helical domain
PF12469.14	Cmr2_N	CRISPR-associated protein Cmr2, N-terminal
PF20823.3	Cmr2_Zn-bd	CRISPR RNA silencing complex Cmr2 subunit, Zn-binding domain
PF19021.6	Cmr7A	CRISPR system CMR subunit Cmr7 1
PF22392.2	Cmr7b-like	Cmr7b-like, BtrG-like domain
PF14617.13	CMS1	U3-containing 90S pre-ribosomal complex subunit
PF12467.14	CMV_1a	Cucumber mosaic virus 1a protein family
PF12503.14	CMV_1a_C	Cucumber mosaic virus 1a protein C terminal 
PF25750.2	CMV_UL148C	Human cytomegalovirus UL148C
PF25722.2	CMV_UL34	Cytomegalovirus transcriptional regulator UL34
PF08001.16	CMV_US	CMV US
PF09316.16	Cmyb_C	C-myb, C-terminal
PF07736.17	CM_1	Chorismate mutase type I
PF01817.27	CM_2	Chorismate mutase type II
PF08077.17	Cm_res_leader	Chloramphenicol resistance gene leader peptide
PF05738.20	Cna_B	Cna protein B-type domain
PF25562.3	CNBH_CNNM2_C	Metal transporter CNNM2-like, C-terminal CNBH domain
PF12717.14	Cnd1	non-SMC mitotic condensation complex subunit 1
PF12922.14	Cnd1_N	non-SMC mitotic condensation complex subunit 1, N-term
PF05786.20	Cnd2	Condensin complex subunit 2
PF12719.14	Cnd3	Nuclear condensing complex subunits, C-term domain
PF16858.12	CNDH2_C	Condensin II complex subunit CAP-H2 or CNDH2, C-terminal wHTH domain
PF16869.11	CNDH2_M	Condensin II complex subunit CAP-H2 or CNDH2, mid domain
PF06278.17	CNDH2_N	Condensin II complex subunit CAP-H2 or CNDH2, N-terminal
PF05785.18	CNF1	Rho-activating domain of cytotoxic necrotizing factor
PF00780.29	CNH	CNH domain
PF06663.19	CNK2_3_dom	Connector enhancer of kinase suppressor of ras 2/3 domain
PF09447.16	Cnl2_NKP2	Cnl2/NKP2 family protein
PF16643.11	cNMPbd_u2	Unstructured region on cNMP-binding protein
PF00027.36	cNMP_binding	Cyclic nucleotide-binding domain
PF01595.26	CNNM	Cyclin M transmembrane N-terminal domain
PF07989.17	Cnn_1N	Centrosomin N-terminal motif 1
PF27626.1	CNOT10_TPR	CNOT10 tetratricopeptide repeat domain
PF10155.15	CNOT11	CCR4-NOT transcription complex subunit 11
PF22940.2	CNOT1_1st	CCR4-NOT transcription complex subunit 1, N-terminal domain
PF16415.12	CNOT1_CAF1_bind	CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16418.12	CNOT1_HEAT	CCR4-NOT transcription complex subunit 1 HEAT repeat
PF16419.12	CNOT1_HEAT_N	CCR4-NOT transcription complex subunit 1 HEAT repeat
PF16417.12	CNOT1_TTP_bind	CCR4-NOT transcription complex subunit 1 TTP binding domain
PF08750.17	CNP1	CNP1-like family
PF05881.19	CNPase	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)
PF17839.7	CNP_C_terminal	C-terminal domain of cyclic nucleotide phosphodiesterase
PF15043.12	CNRIP1	CB1 cannabinoid receptor-interacting protein 1
PF17524.8	CnrY	Anti-sigma factor CnrY
PF01110.23	CNTF	Ciliary neurotrophic factor
PF26317.1	CntK_N	Histidine racemase CntK N-terminal domain
PF16688.11	CNV-Replicase_N	Replicase polyprotein N-term from Coronavirus nsp1
PF00795.28	CN_hydrolase	Carbon-nitrogen hydrolase
PF22661.3	CO4A-B_CUB_C	Complement C4A/B CUB C-terminal domain
PF08695.17	Coa1	Cytochrome oxidase complex assembly protein 1
PF17051.10	COA2	Cytochrome C oxidase assembly factor 2
PF09813.15	Coa3_cc	Cytochrome c oxidase assembly factor 3
PF10231.15	COA8	Cytochrome c oxidase assembly factor 8
PF01121.27	CoaE	Dephospho-CoA kinase
PF08764.16	Coagulase	Staphylococcus aureus coagulase
PF02035.20	Coagulin	Coagulin
PF07718.19	Coatamer_beta_C	Coatomer beta C-terminal region
PF14806.12	Coatomer_b_Cpla	Coatomer beta subunit appendage platform
PF04733.21	Coatomer_E	Coatomer epsilon subunit
PF16381.11	Coatomer_g_Cpla	Coatomer subunit gamma-1 C-terminal appendage platform
PF07875.19	Coat_F	Coat F domain
PF22402.3	Coat_P	Coat protein, P (projecting) domain
PF07552.17	Coat_X	Spore Coat Protein X and V domain
PF02629.26	CoA_binding	CoA binding domain
PF13380.13	CoA_binding_2	CoA binding domain
PF13727.13	CoA_binding_3	CoA-binding domain
PF01144.30	CoA_trans	Coenzyme A transferase
PF02515.23	CoA_transf_3	CoA-transferase family III
PF01122.26	Cobalamin_bind	Eukaryotic cobalamin-binding protein
PF02572.22	CobA_CobO_BtuR	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP
PF03186.19	CobD_Cbib	CobD/Cbib protein
PF09469.17	Cobl	Cordon-bleu ubiquitin-like domain
PF02514.22	CobN-Mg_chel	CobN/Magnesium Chelatase
PF04833.21	COBRA	COBRA-like protein
PF06209.19	COBRA1	Cofactor of BRCA1 (COBRA1)
PF02654.21	CobS	Cobalamin-5-phosphate synthase
PF12556.14	CobS_N	Cobaltochelatase CobS subunit N terminal 
PF06213.18	CobT	Cobalamin biosynthesis protein CobT
PF11775.14	CobT_C	Cobalamin biosynthesis protein CobT VWA domain
PF02283.23	CobU	Cobinamide kinase / cobinamide phosphate guanyltransferase
PF02492.26	cobW	CobW/HypB/UreG, nucleotide-binding domain
PF07683.20	CobW_C	Cobalamin synthesis protein cobW C-terminal domain
PF23319.2	CobW_C_DAAF9	DAAF9 CobW_C-like domain
PF01923.24	Cob_adeno_trans	Cobalamin adenosyltransferase
PF25079.2	COB_C	COBRA family C-terminal domain
PF15296.12	Codanin-1_C	Codanin-1 C-terminus
PF18537.7	CODH_A_N	Carbon monoxide dehydrogenase subunit alpha N-terminal domain
PF06018.21	CodY	CodY GAF-like domain
PF16422.11	COE1_DBD	Transcription factor COE1 DNA-binding domain
PF16423.11	COE1_HLH	Transcription factor COE1 helix-loop-helix domain
PF00135.35	COesterase	Carboxylesterase family
PF04187.19	Cofac_haem_bdg	Haem-binding uptake, Tiki superfamily, ChaN
PF22228.3	CofB_beta-rpt	CofB beta-repeat domain
PF22229.2	CofB_C	CofB C-terminal domain
PF21444.3	CofB_pilin_dom	CofB, pilin domain
PF01983.22	CofC	Guanylyl transferase CofC like
PF01933.24	CofD	2-phospho-L-lactate transferase CofD
PF19288.5	CofH_C	CofH/MqnC C-terminal region
PF00241.26	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein
PF21874.2	CofJ	CofJ protein
PF22431.3	COG2p_C	COG2p C-terminal
PF12022.15	COG2_C	COG complex component, COG2, C-terminal
PF06148.18	COG2_N	COG2 N-terminal
PF20671.4	COG3_C	Conserved oligomeric Golgi complex subunit 3, C-terminal
PF04136.22	COG3_N	Conserved oligomeric Golgi complex subunit 3, N-terminal
PF20662.4	COG4_C	Conserved oligomeric Golgi complex subunit 4, C-terminal
PF08318.19	COG4_m	COG4 transport protein, middle alpha-helical bundle
PF20663.4	COG4_N	Conserved oligomeric Golgi complex subunit 4, N-terminal
PF20649.4	COG5_C	Conserved oligomeric Golgi complex subunit 5, C-terminal
PF10392.16	COG5_N	Conserved oligomeric Golgi complex subunit 5, N-terminal
PF20653.4	COG6_C	Conserved Oligomeric Golgi complex subunit 6, C-terminal
PF06419.18	COG6_N	Conserved oligomeric complex COG6, N-terminal
PF10191.16	COG7	Golgi complex component 7 (COG7)
PF00963.25	Cohesin	Cohesin domain
PF12765.14	Cohesin_HEAT	HEAT repeat associated with sister chromatid cohesion
PF10345.16	Cohesin_load	Cohesin loading factor
PF25166.2	CoiA_C	Competence protein CoiA, C-terminal domain
PF25164.2	CoiA_N	Competence protein CoiA, N-terminal domain
PF06054.19	CoiA_nuc	Competence protein CoiA, nuclease-like domain
PF05710.18	Coiled	Coiled coil
PF15862.11	Coilin_N	Coilin N-terminus
PF21431.4	Col-Pyo_DNase	Colicin/Pyocin-S2, DNase domain
PF22348.2	ColA_N	Colicin-A N-terminal domain
PF26004.1	COLEC12	Collectin-12-like domain
PF06286.16	Coleoptericin	Coleoptericin
PF01410.24	COLFI	Fibrillar collagen C-terminal domain
PF18496.7	ColG_sub	Collagenase G catalytic helper subdomain
PF01024.25	Colicin	Colicin pore forming domain
PF12639.14	Colicin-DNase	DNase/tRNase domain of colicin-like bacteriocin
PF11429.13	Colicin_D	Colicin D
PF12106.15	Colicin_E5	Colicin E5 ribonuclease domain
PF11504.14	Colicin_Ia	Colicin Ia
PF03857.19	Colicin_im	Colicin immunity protein
PF09204.16	Colicin_immun	Bacterial self-protective colicin-like immunity
PF14859.11	Colicin_M	Colicin M
PF01320.25	Colicin_Pyocin	Colicin immunity protein / pyocin immunity protein
PF02674.23	Colicin_V	Colicin V production protein
PF01114.25	Colipase	Colipase, N-terminal domain
PF15083.12	Colipase-like	Colipase-like
PF02740.21	Colipase_C	Colipase, C-terminal domain
PF01391.24	Collagen	Collagen triple helix repeat (20 copies)
PF05737.19	Collagen_bind	Collagen binding domain
PF12904.14	Collagen_bind_2	Putative collagen-binding domain of a collagenase 
PF15984.11	Collagen_mid	Bacterial collagen, middle region
PF20010.6	Collagen_trimer	Collagen trimerization domain
PF07484.18	Collar	Phage Tail Collar Domain
PF16959.11	Collectrin	Renal amino acid transporter
PF01484.23	Col_cuticle_N	Nematode cuticle collagen N-terminal domain
PF02679.22	ComA	(2R)-phospho-3-sulfolactate synthase (ComA)
PF27342.1	ComB_N	ComB N-terminal domain
PF03047.21	ComC	COMC family
PF27480.1	ComC_N	ComC N-terminal domain
PF22933.1	ComC_SSD	ComC, supersandwich domain
PF27511.1	ComFA_N	Competence protein ComFA N-terminal domain
PF10719.15	ComFB	Late competence development protein ComFB
PF26697.1	ComGC_C	Competence protein ComGC, C-terminal domain
PF11773.15	ComGE	Competence system putative prepilin ComGE
PF15980.11	ComGF	Putative Competence protein ComGF
PF14173.12	ComGG	ComG operon protein 7
PF11033.15	ComJ	Competence protein J (ComJ)
PF06338.18	ComK	ComK protein
PF15957.11	Comm	Commissureless
PF17221.9	COMMD1_N	COMMD1 N-terminal domain
PF22838.2	COMMD8_HN	COMMD8, helical N-terminal domain
PF20923.3	COMMD9_HN	COMMD9, helical N-terminal domain
PF07258.20	COMM_domain	COMM domain
PF21672.3	COMM_HN	COMMD2-7/10, HN domain
PF02247.23	Como_LCP	Large coat protein
PF02248.23	Como_SCP	Small coat protein
PF11598.14	COMP	Cartilage oligomeric matrix protein
PF05205.18	COMPASS-Shg1	COMPASS (Complex proteins associated with Set1p) component shg1
PF03772.22	Competence	Competence protein
PF27757.1	Competence-induced_Ccs4	Putative competence-induced protein Ccs4
PF11546.14	CompInhib_SCIN	Staphylococcal complement inhibitor SCIN 
PF00329.26	Complex1_30kDa	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00346.25	Complex1_49kDa	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF01512.23	Complex1_51K	Nuo51 FMN-binding domain
PF05347.22	Complex1_LYR	Complex 1 protein (LYR family)
PF13232.12	Complex1_LYR_1	Complex1_LYR-like
PF13233.13	Complex1_LYR_2	Complex1_LYR-like
PF16732.11	ComP_DUS	Type IV minor pilin ComP, DNA uptake sequence receptor
PF18710.8	ComR_TPR	ComR tetratricopeptide
PF17584.7	ComS	Bacillus competence protein S
PF05952.19	ComX	Bacillus competence pheromone ComX
PF10815.14	ComZ	ComZ
PF06133.17	Com_YlbF	Control of competence regulator ComK, YlbF/YmcA
PF10346.15	Con-6	Conidiation protein 6
PF28480.1	Con-8	Conidiation-specific protein 8
PF27979.1	CON7_helical	CON7 transcription factor helical domain
PF26430.1	ConA_BAM2	BAM-2 Concanavalin A-like domain
PF26321.1	ConA_like_dom_Wo	Botulinum-like neurotoxin Wo, concanavalin A-like domain
PF00668.26	Condensation	Condensation domain
PF12422.14	Condensin2nSMC	Condensin II non structural maintenance of chromosomes subunit
PF27686.1	Conjugal_tfr_repressor_TrbA	Conjugal transfer repressor TrbA
PF27095.1	Conj_beta_prop_9	Conjugation-associated 9-bladed beta-propeller domain
PF00029.25	Connexin	Connexin
PF16791.11	Connexin40_C	Connexin 40 C-terminal domain
PF03508.19	Connexin43	Gap junction alpha-1 protein (Cx43)
PF03509.20	Connexin50	Gap junction alpha-8 protein (Cx50)
PF02950.23	Conotoxin	Conotoxin
PF17557.8	Conotoxin_I2	I2-superfamily conotoxins
PF15281.12	Consortin_C	Consortin C-terminus
PF22883.2	Consortin_N	Consortin, N-terminal domain
PF03601.20	Cons_hypoth698	Conserved hypothetical protein 698
PF03602.22	Cons_hypoth95	Conserved hypothetical protein 95
PF24473.2	CON_HrpB	ATP-dependent RNA helicase HrpB, connector region
PF15976.12	CooC_C	CS1-pili formation C-terminal
PF14395.12	COOH-NH2_lig	Phage phiEco32-like COOH.NH2 ligase-type 2
PF10133.15	CooT	CO dehydrogenase accessory protein CooT
PF08752.17	COP-gamma_platf	Coatomer gamma subunit appendage platform subdomain
PF14218.12	COP23	Circadian oscillating protein COP23
PF22788.3	COP9_hel_rpt	COP9 signalosome complex subunit 3, N-terminal helical repeats
PF05275.18	CopB	Copper resistance protein B precursor (CopB)
PF04234.19	CopC	CopC domain
PF05425.19	CopD	Copper resistance protein D
PF12441.15	CopG_antitoxin	CopG antitoxin of type II toxin-antitoxin system 
PF07970.18	COPIIcoated_ERV	Endoplasmic reticulum vesicle transporter 
PF07002.23	Copine	Copine
PF08507.16	COPI_assoc	COPI associated protein
PF06957.18	COPI_C	Coatomer (COPI) alpha subunit C-terminus
PF11525.14	CopK	Copper resistance protein K
PF00127.27	Copper-bind	Copper binding proteins, plastocyanin/azurin family
PF00649.24	Copper-fist	Copper fist DNA binding domain
PF15340.12	COPR5	Cooperator of PRMT5 family
PF01218.24	Coprogen_oxidas	Coproporphyrinogen III oxidase
PF25983.1	COPS2_C	COP9 signalosome complex subunit 2, C-terminal helix
PF05019.19	Coq4	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF03232.20	COQ7	Ubiquinone biosynthesis protein COQ7
PF08511.17	COQ9	COQ9
PF21392.4	COQ9_N	Ubiquinone biosynthesis protein COQ9, N-terminal domain
PF16095.12	COR-A	C-terminal of Roc, COR-A domain
PF25497.2	COR-B	C-terminal of Roc, COR-B domain
PF04803.18	Cor1	Cor1/Xlr/Xmr conserved region
PF01544.24	CorA	CorA-like Mg2+ transporter protein
PF26616.1	CorA-like	CorA-like transporters
PF17308.8	Corazonin	Pro-corazonin
PF03471.23	CorC_HlyC	Transporter associated domain
PF03311.20	Cornichon	Cornichon protein
PF02389.21	Cornifin	Cornifin (SPRR) family
PF04694.18	Corona_3	Coronavirus ORF3 protein
PF06336.18	Corona_5a	Coronavirus 5a protein
PF03262.20	Corona_6B_7B	Coronavirus 6B/7B protein
PF02398.23	Corona_7	Coronavirus protein 7
PF03187.21	Corona_I	Corona nucleocapsid I protein
PF06145.16	Corona_NS1	Coronavirus nonstructural protein NS1
PF04753.18	Corona_NS12-7	Coronavirus non-structural protein NS12.7 family
PF05213.19	Corona_NS2A	Coronavirus NS2A protein
PF03053.20	Corona_NS3b	ORF3b coronavirus protein
PF03905.19	Corona_NS4	Coronavirus non-structural protein NS4
PF09727.15	CortBP2	Cortactin-binding protein-2
PF09304.17	Cortex-I_coil	Cortexillin coiled-coil region
